index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.
11,Chura Hair Salon,"International Village Mall 2F 2123, 88 W Pender St, Vancouver, BC V6B 6N9",Hair salon,49.2822879,-123.1303262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hair Fantasy Studio,"975 Hornby St, Vancouver, BC V6Z 1V3",Hair salon,49.2808284,-123.1428234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bold Hair Design,"1054 Hornby St, Vancouver, BC V6Z 1V6",Hair salon,49.2808284,-123.1428234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tsubaki Hair Express,"515 Dunsmuir St, Vancouver, BC V6B 1Y4",Hair salon,49.282638,-123.1327017,,None,None,None,None,None,None,0%,0%,0%,0%,17%,8%,None,34%,52%,17%,60%,34%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,52%,17%,None,65%,52%,47%,26%,52%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,17%,65%,None,21%,65%,34%,52%,21%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,39%,8%,None,34%,39%,69%,26%,34%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,39%,30%,None,100%,39%,52%,65%,8%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,43%,30%,None,13%,86%,26%,52%,69%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,8%,34%,None,34%,21%,69%,47%,47%,0%,0%,0%,0%,0%,0%,43%,13%,39%,95%,13%,39%,30%
15,Chez Mari Salon,"565 W Pender St, Vancouver, BC V6B 1V5",Hair salon,49.282638,-123.1327017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Great Clips,"1160 Davie St #120, Vancouver, BC V6E 1N1",Hair salon,49.2811246,-123.1507002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Cut My Hair Barber Shop,"790 Richards St, Vancouver, BC V6B 0C8",Barber shop,49.2804037,-123.1350213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,JK HAIR SALON,"776 Thurlow St, Vancouver, BC V6E 1V8",Hair salon,49.2804037,-123.1350213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Salon de J Hair,"774 Bidwell St, Vancouver, BC V6G 2J6",Hair salon,49.290642,-123.1513624,,None,None,None,None,None,None,0%,0%,0%,0%,61%,46%,None,23%,23%,76%,53%,38%,69%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,53%,None,69%,38%,15%,38%,46%,61%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,15%,None,23%,38%,38%,23%,15%,30%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,30%,7%,None,53%,15%,23%,61%,46%,15%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,23%,None,76%,84%,15%,7%,100%,30%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,84%,7%,None,30%,53%,53%,30%,7%,92%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,46%,92%,None,30%,61%,61%,61%,38%,15%,0%,0%,0%,0%,0%,84%,15%,76%,38%,7%,15%,7%
20,Oh Hey Style,"119 W Pender St #226, Vancouver, BC V6A 1T6",Hairdresser,49.2814631,-123.1260363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kanai Hairstyling,"666 Burrard St B-06, Vancouver, BC V6C 2X8",Hairdresser,49.285198,-123.1375013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Guild Hair Salon,"736 Granville St, Vancouver, BC V6Z 1G3",Hair salon,49.285198,-123.1375013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Haley Glenn Hair,"38 E Cordova St, Vancouver, BC V6A 4G8",Hair salon,49.2822633,-123.1213553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,SuSu Hair Bar,"181 Keefer Pl Unit 107, Vancouver, BC V6B 6C1",Hair salon,49.2822633,-123.1213553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Studio 209,"402 W Pender St #209, Vancouver, BC V6B 1T5",Hair salon,49.2826704,-123.1304545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Suki's Downtown,"1030 W Georgia St #233, Vancouver, BC V6E 2Y3",Hair salon,49.2845488,-123.1403418,,None,None,None,None,None,None,0%,0%,76%,8%,44%,44%,None,26%,5%,26%,8%,17%,17%,52%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,14%,91%,26%,47%,None,44%,20%,14%,17%,5%,26%,8%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,5%,38%,55%,38%,None,55%,32%,11%,14%,26%,11%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,17%,55%,58%,None,20%,44%,32%,26%,20%,14%,20%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,29%,17%,20%,50%,None,100%,26%,32%,41%,29%,29%,14%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,55%,38%,11%,29%,None,79%,79%,20%,32%,52%,50%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,5%,55%,26%,23%,None,8%,35%,35%,29%,41%,67%,29%,0%,0%,0%,0%,38%,38%,26%,73%,64%,23%,20%
27,Lucky Hair Cut,"229 Keefer St #116, Vancouver, BC V6A 1X4",Barber shop,49.2795477,-123.116584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
